description,target
Goodwill ,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Goodwill-->
Computer Software,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Acc. Depreciation-Computer Software,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Computer Software - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Acc. Depreciation-Computer Software Adj,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
S4 Hana migration Asset. Account,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
S4 Hana migration Acc.dep Account,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Other Intangibles,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Intangible assets,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOth-->BS_IntangACS-->
Intangible Asset under- SCA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangEE-->
Intangible Asset under development - SCA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOthe-->
Intangible assets under Development,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_Intang-->BS_IntangOthe-->
Freehold Land,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Land-->
Freehold Land-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Land-->
Acc. Dep  - Freehold Land,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Land-->
Buildings - Factory,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Acc. Depreciation-Factory Building,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Buildings - Factory-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Acc.Dep-Fact Build A,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
Buildings -Office - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_PPENet-->BS_PPE_LandBuilding-->BS_PPE_Building-->
